1,エイプリルフール
2,新学年スタート日
3,明和の大火（1772年 - 明和9年/安永元年2月29日）
4,アジア初の鉄道となるインド鉄道が開業。（1853年）,1853
5,シンガポールがイギリスの直轄植民地となる（1867年）,1867
6,南満州鉄道（満鉄）が営業を開始（1907年）,満鉄)が営業を開始(1907
7,ハプスブルク家最後の皇帝カール1世がマデイラ島で崩御（1922年）,1922
8,スペイン内戦でナショナリスト派が勝利宣言（1939年）,1939
9,第二次世界大戦・沖縄戦:米軍が沖縄本島に上陸（1945年）,1945
10,ニューファンドランド島がカナダ連邦に加入（1949年）,1949
11,東京証券取引所設立（1949年）,1949
12,琉球政府が発足（1952年）,1952
13,保安大学校（現在の防衛大学校）が開校（1953年）,現在の防衛大学校)が開校(1953
14,ラジオ東京テレビ（現在のTBSテレビ）開局（1955年）,現在のTBSテレビ)開局(1955
15,日本人の海外観光渡航自由化。観光目的でのパスポート発行が可能に（1964年）,1964
16,イラン・イスラム共和国発足（1979年）,1979
17,NTTとJTが発足（1985年）,1985
18,男女雇用機会均等法施行（1986年）,1986
19,国鉄分割民営化、JR発足（1987年）,1987
20,ボスニア・ヘルツェゴビナ紛争勃発（1992年）,1992
21,世界で初めてオランダが同性結婚法を施行（2001年）,2001
22,菅義偉官房長官が元号「令和」を公表。皇位継承前の新元号公表は憲政史上初（2019年）,2019
